employee_id,name,role,level,vacation_days,days_worked,restaurant_id,is_manager
1,Tonya Williams,Waiter,Senior,5,168,15,True
2,Jeffrey Stewart DVM,Cook,Senior,20,197,18,True
3,Jonathan Perez,Cashier,Mid,25,182,12,False
4,Mr. James Thomas MD,Cashier,Mid,5,220,20,True
5,Reginald Johnston,Manager,Senior,7,235,4,True
6,Samantha Ramos,Waiter,Junior,3,130,4,False
7,Kaitlin Gonzalez,Cashier,Senior,20,105,9,True
8,Karen Pace,Cook,Junior,6,197,6,False
9,Kristin Lewis,Cook,Mid,11,144,1,True
10,Natasha Reilly,Waiter,Junior,14,220,4,False
11,David Hampton,Cleaner,Junior,3,109,3,True
12,Brandon Daniel,Waiter,Senior,30,244,10,False
13,Christina Frye,Waiter,Senior,7,164,12,True
14,William Robbins,Waiter,Senior,28,136,13,False
15,Alison Campbell,Waiter,Mid,8,143,10,False
16,Chelsea Lewis,Cashier,Mid,3,215,9,True
17,Julia Thompson,Waiter,Mid,25,169,9,True
18,Marvin Johnson,Waiter,Junior,2,216,8,False
19,Steven Clark,Waiter,Mid,18,241,6,True
20,Melinda Snow,Waiter,Senior,22,221,18,False
21,Peggy Mclaughlin,Cashier,Junior,16,160,8,False
22,Connor Frazier,Cleaner,Senior,25,102,13,True
23,Charles Hammond,Manager,Junior,18,131,1,True
24,Jose Forbes II,Cleaner,Senior,11,129,5,True
25,Ronald Valentine,Cashier,Junior,5,240,15,True
26,Robert Watson,Waiter,Senior,27,203,10,True
27,Joe Thompson,Cashier,Senior,20,219,5,False
28,Angela Bell,Cleaner,Senior,6,130,13,True
29,Dustin Reed,Cashier,Mid,6,215,8,True
30,Amy Garcia,Waiter,Junior,6,110,15,True
31,Eric Sanders,Manager,Senior,3,181,16,False
32,Ryan Johnson,Cleaner,Mid,27,235,8,False
33,Meagan Fitzgerald,Cleaner,Senior,13,185,5,True
34,Dean Boyd,Cashier,Mid,21,202,18,True
35,Rebecca Valencia,Cashier,Mid,2,111,7,True
36,Angela Benjamin,Cleaner,Junior,18,102,6,True
37,Nathan Clark,Waiter,Junior,3,130,15,True
38,Roy Carney,Waiter,Senior,15,150,1,True
39,Edgar Wilkinson,Manager,Junior,11,194,7,False
40,Daniel Charles,Waiter,Senior,30,211,14,True
41,Annette House,Waiter,Mid,7,158,19,False
42,Katie Wall,Manager,Mid,12,195,18,False
43,Lindsay Morales,Cashier,Mid,27,130,14,False
44,Jennifer Brock,Cleaner,Mid,30,219,2,True
45,Lisa Hess,Cleaner,Senior,2,115,14,True
46,Jason Smith,Manager,Senior,21,231,7,False
47,Jesse Harris,Cashier,Mid,13,133,8,True
48,Tiffany Valdez,Waiter,Junior,24,228,8,False
49,Ryan Day,Waiter,Junior,26,107,16,True
50,Chris Cisneros,Waiter,Senior,28,149,16,True
51,Timothy Harvey PhD,Waiter,Senior,25,190,15,True
52,Anna Taylor,Waiter,Mid,15,164,3,True
53,Anita Mendez,Cook,Mid,12,151,3,False
54,Tonya Lucas,Cook,Mid,14,234,15,False
55,Teresa Turner MD,Cook,Senior,16,175,6,True
56,Trevor Castillo,Cashier,Senior,19,104,7,True
57,Dominique Warren,Manager,Junior,12,208,4,False
58,William Kelly,Waiter,Mid,19,124,16,True
59,April Johnson,Cashier,Junior,11,204,20,False
60,Michaela Molina,Cleaner,Junior,17,195,8,True
61,Travis Cantu,Cook,Mid,22,195,7,True
62,Jay Wilson,Cashier,Mid,20,118,15,True
63,Teresa Davis,Waiter,Senior,18,162,12,False
64,Terry Fields,Cashier,Mid,0,115,8,True
