employee_id,name,role,level,vacation_days,days_worked,restaurant_id,is_manager
1,Tonya Williams,Waiter,Senior,5,168,13,True
2,Jeffrey Stewart DVM,Cook,Senior,20,197,11,True
3,Jonathan Perez,Cashier,Mid,25,182,9,False
4,Mr. James Thomas MD,Cashier,Mid,5,220,8,True
5,Reginald Johnston,Manager,Senior,7,235,14,True
6,Samantha Ramos,Waiter,Junior,3,130,20,False
7,Kaitlin Gonzalez,Cashier,Senior,20,105,12,True
8,Karen Pace,Cook,Junior,6,197,19,False
9,Kristin Lewis,Cook,Mid,11,144,16,True
10,Natasha Reilly,Waiter,Junior,14,220,16,False
11,David Hampton,Cleaner,Junior,3,109,1,True
12,Brandon Daniel,Waiter,Senior,30,244,13,False
13,Christina Frye,Waiter,Senior,7,164,13,True
14,William Robbins,Waiter,Senior,28,136,16,False
15,Alison Campbell,Waiter,Mid,8,143,1,False
16,Chelsea Lewis,Cashier,Mid,3,215,2,True
17,Julia Thompson,Waiter,Mid,25,169,5,True
18,Marvin Johnson,Waiter,Junior,2,216,9,False
19,Steven Clark,Waiter,Mid,18,241,7,True
20,Melinda Snow,Waiter,Senior,22,221,11,False
21,Peggy Mclaughlin,Cashier,Junior,16,160,6,False
22,Connor Frazier,Cleaner,Senior,25,102,14,True
23,Charles Hammond,Manager,Junior,18,131,11,True
24,Jose Forbes II,Cleaner,Senior,11,129,20,True
25,Ronald Valentine,Cashier,Junior,5,240,4,True
26,Robert Watson,Waiter,Senior,27,203,20,True
27,Joe Thompson,Cashier,Senior,20,219,7,False
28,Angela Bell,Cleaner,Senior,6,130,17,True
29,Dustin Reed,Cashier,Mid,6,215,14,True
30,Amy Garcia,Waiter,Junior,6,110,15,True
31,Eric Sanders,Manager,Senior,3,181,16,False
32,Ryan Johnson,Cleaner,Mid,27,235,11,False
33,Meagan Fitzgerald,Cleaner,Senior,13,185,8,True
34,Dean Boyd,Cashier,Mid,21,202,18,True
35,Rebecca Valencia,Cashier,Mid,2,111,12,True
36,Angela Benjamin,Cleaner,Junior,18,102,20,True
37,Nathan Clark,Waiter,Junior,3,130,12,True
38,Roy Carney,Waiter,Senior,15,150,5,True
39,Edgar Wilkinson,Manager,Junior,11,194,7,False
40,Daniel Charles,Waiter,Senior,30,211,5,True
41,Annette House,Waiter,Mid,7,158,3,False
42,Katie Wall,Manager,Mid,12,195,17,False
43,Lindsay Morales,Cashier,Mid,27,130,1,False
44,Jennifer Brock,Cleaner,Mid,30,219,2,True
45,Lisa Hess,Cleaner,Senior,2,115,4,True
46,Jason Smith,Manager,Senior,21,231,9,False
47,Jesse Harris,Cashier,Mid,13,133,3,True
48,Tiffany Valdez,Waiter,Junior,24,228,8,False
49,Ryan Day,Waiter,Junior,26,107,18,True
50,Chris Cisneros,Waiter,Senior,28,149,3,True
51,Timothy Harvey PhD,Waiter,Senior,25,190,4,True
52,Anna Taylor,Waiter,Mid,15,164,4,True
53,Anita Mendez,Cook,Mid,12,151,3,False
54,Tonya Lucas,Cook,Mid,14,234,7,False
55,Teresa Turner MD,Cook,Senior,16,175,3,True
56,Trevor Castillo,Cashier,Senior,19,104,17,True
57,Dominique Warren,Manager,Junior,12,208,12,False
58,William Kelly,Waiter,Mid,19,124,10,True
59,April Johnson,Cashier,Junior,11,204,7,False
60,Michaela Molina,Cleaner,Junior,17,195,11,True
61,Travis Cantu,Cook,Mid,22,195,3,True
62,Jay Wilson,Cashier,Mid,20,118,17,True
63,Teresa Davis,Waiter,Senior,18,162,18,False
64,Terry Fields,Cashier,Mid,0,115,3,True
65,Meagan Berger,Waiter,Mid,13,196,14,False
66,Alicia Jones,Cook,Junior,11,228,18,True
67,Richard Bell,Cook,Junior,16,161,12,True
68,John Mcmillan,Waiter,Senior,25,139,17,True
69,Ms. Marissa Vasquez PhD,Cleaner,Senior,1,129,14,False
70,Vicki Garrett,Manager,Senior,16,111,13,False
71,Andrea Anthony,Cleaner,Senior,22,206,11,False
72,Alexis Robinson,Waiter,Junior,9,231,12,False
73,Garrett Brooks,Cleaner,Senior,12,123,9,True
74,Robin Sloan,Cleaner,Senior,7,142,3,False
75,John Robertson,Waiter,Senior,19,228,8,True
76,Brian Peterson,Cook,Mid,28,168,16,True
77,Cody Cervantes,Cook,Mid,17,225,4,False
78,Samantha Smith,Cashier,Senior,17,245,11,True
79,Christopher Evans,Cashier,Mid,29,202,1,True
80,Anthony Woodward,Waiter,Senior,26,167,17,True
81,Kyle Graves,Manager,Mid,0,113,10,True
82,Spencer Nelson,Waiter,Junior,5,171,1,True
83,Jesse Rodriguez,Cashier,Senior,0,207,1,True
