review_id,restaurant_id,reviewer_name,review_date,rating,review_text
1,31,Susan Warner,2024-02-11,4,The service was slow. The music was relaxing. The decor was elegant. The menu had plenty of vegetarian options. The experience was a bit expensive.
2,39,Luis Bailey,2025-01-28,2,The service was a bit delayed. The music was well chosen. The restaurant was not well maintained.
3,30,Christina Jackson,2024-06-30,4,"The menu had limited choices. Overall, I would definitely come back. The service was a bit delayed. The experience was a bit expensive."
4,1,Seth Hurley,2024-06-21,5,"The atmosphere was lively. The waiters were rude. The service was slow. The music was pleasant. Overall, I would not recommend it."
5,40,Justin Lee,2023-07-20,4,Expert education answer drive The food was overcooked. The music was relaxing.
6,7,Anthony Greene,2025-04-11,5,The music was relaxing. The experience was overpriced.
7,28,Nancy Williams,2024-05-25,3,The experience was great for the cost. The atmosphere was dull. The music was too loud. The service was perfectly timed. Test same age lose The food was excellent.
8,35,Anthony Freeman,2024-02-15,4,Event church pull environmental themselves stock The food was mediocre. The menu had too many confusing items.
9,18,Mr. Brian Thomas PhD,2024-04-13,3,"The waiters were efficient. The service was fast. Overall, I would not recommend it. Into arrive ahead true few more The food was excellent. The music was pleasant."
10,6,Diane Boyd,2024-06-27,1,The service was perfectly timed. The menu had plenty of vegetarian options. The music was out of place. The decor was charming.
11,8,Matthew Parker,2025-04-12,3,The decor was outdated. The service was perfectly timed.
12,28,Alicia Lee,2023-12-29,2,The music was pleasant. The experience was worth the price. The service was perfectly timed. The atmosphere was cozy.
13,26,Andrew Mack,2024-02-29,4,The menu had great variety. The music was pleasant.
14,39,Linda Smith,2025-05-13,3,The menu had great variety. The restaurant was spotless. The waiters were distracted.
15,27,Casey Townsend,2024-10-05,2,The restaurant was very clean. The waiters were attentive.
16,11,Christopher Terry,2023-10-15,3,Indicate type stand authority country The food was delicious. The waiters were rude. The decor was modern.
17,34,Raymond Contreras,2023-08-10,1,Better upon continue speak writer while The food was mediocre. The music was pleasant. The waiters were very friendly. The atmosphere was romantic.
18,6,Glenn Powell,2024-03-12,2,The experience was overpriced. The decor was charming.
19,22,James Hall,2025-03-30,1,The waiters were very friendly. Husband wrong must enjoy field style what our The food was overcooked. The atmosphere was dull. The service was slow. The decor was minimalistic.
20,24,Megan Walker,2025-02-02,5,Crime green true The food was excellent. The service was a bit delayed. The experience was great for the cost.
21,10,Stephanie Wiley,2025-05-28,1,"Overall, I would definitely come back. The restaurant was a bit messy. The decor was outdated. The service was perfectly timed. The atmosphere was lively."
22,28,Dakota Boyd,2024-03-28,3,The music was relaxing. The menu had plenty of vegetarian options. The restaurant was very clean.
23,35,Colleen Robinson,2023-07-20,5,The restaurant was not well maintained. The waiters were rude. The experience was worth the price. The menu had too many confusing items. The music was too loud.
24,7,Aaron Marquez,2024-01-25,3,"The menu had too many confusing items. The experience was worth the price. Overall, I would not recommend it. The music was relaxing."
25,30,Brandi Wall,2025-06-11,1,The music was too loud. The waiters were rude. The decor was modern. The experience was worth the price. The restaurant was not well maintained.
26,23,Michelle Patton,2023-11-22,1,The service was perfectly timed. The waiters were distracted.
27,31,Michael Jackson,2025-05-16,1,"The experience was great for the cost. The service was perfectly timed. The restaurant was not well maintained. The waiters were very friendly. Overall, I would not recommend it."
28,2,Jonathan Rivers,2025-04-09,4,Nation natural walk The food was mediocre. The service was fast. The atmosphere was family-friendly. The decor was modern.
29,34,Jeffrey Ryan,2023-10-10,5,Mother action well sit base term The food was mediocre. The waiters were very friendly.
30,2,Hannah Spencer,2024-09-13,3,"Overall, I would say it's okay. Outside lot month The food was overcooked."
31,7,William Humphrey,2023-12-09,1,The atmosphere was family-friendly. The experience was great for the cost. The service was a bit delayed. Effort stand knowledge so The food was mediocre.
32,35,Jacob Francis,2023-09-08,5,The restaurant was very clean. The experience was great for the cost. The waiters were rude. The service was a bit delayed. Plant modern despite The food was excellent.
33,37,Shane Howell,2024-05-10,3,The experience was overpriced. Information at various The food was well-prepared. The atmosphere was cozy. The music was relaxing.
34,34,Michele Davis,2024-05-06,3,"The decor was modern. The waiters were efficient. Overall, I would not recommend it."
35,6,Dawn Carr,2024-10-29,4,"Overall, I would say it's okay. The menu had too many confusing items. The service was slow."
36,30,Mr. Larry Gonzalez,2023-08-08,1,"The waiters were distracted. The service was a bit delayed. The experience was overpriced. Overall, I would rate it highly. The music was out of place."
37,38,Michael Lambert,2024-08-04,1,The menu had plenty of vegetarian options. Evidence manager hit first several her The food was excellent. The waiters were rude. The experience was a bit expensive. The decor was outdated.
38,5,Ethan Gibson,2025-03-15,5,The menu had too many confusing items. The restaurant was a bit messy. The service was a bit delayed. Become since middle believe The food was cold. The experience was worth the price.
